ticker,timestamp,date,time,div_type,direction,osc_value,entry,stop,risk,conf_bar,target,exit,exit_reason,pnl_pts,pnl_r
QQQ,2018-01-03 12:50:00,2018-01-03,12:50,bear,short,117.6,160.04,160.08,0.04,52,159.96,159.96,target,0.08,2.0
SPY,2018-01-03 13:00:00,2018-01-03,13:00,bear,short,105.61,270.32,270.46,0.14,54,270.04,270.04,target,0.28,2.0
IWM,2018-01-11 13:00:00,2018-01-11,13:00,bear,short,139.33,157.32,157.51,0.19,287,156.94,157.51,stop,-0.19,-1.0
QQQ,2018-01-22 12:30:00,2018-01-22,12:30,bear,short,101.18,167.65,167.68,0.03,530,167.59,167.68,stop,-0.03,-1.0
SPY,2018-02-06 09:30:00,2018-02-06,09:30,bull,long,-114.67,263.88,260.24,3.64,953,271.16,268.81,eod,4.93,1.354
QQQ,2018-02-06 09:30:00,2018-02-06,09:30,bull,long,-120.36,158.51,155.65,2.86,952,164.23,162.26,eod,3.75,1.311
QQQ,2018-02-20 09:50:00,2018-02-20,09:50,hidden_bear,short,111.31,165.18,165.52,0.34,1314,164.5,165.52,stop,-0.34,-1.0
SPY,2018-02-21 09:50:00,2018-02-21,09:50,hidden_bear,short,109.69,272.68,273.06,0.38,1355,271.92,273.06,stop,-0.38,-1.0
QQQ,2018-03-05 13:10:00,2018-03-05,13:10,bear,short,100.61,167.87,168.03,0.16,1694,167.55,167.55,target,0.32,2.0
QQQ,2018-03-09 12:20:00,2018-03-09,12:20,bear,short,109.52,172.26,172.41,0.15,1849,171.96,172.41,stop,-0.15,-1.0
QQQ,2018-03-26 11:20:00,2018-03-26,11:20,hidden_bull,long,-106.51,159.96,159.23,0.73,2283,161.42,161.42,target,1.46,2.0
QQQ,2018-04-03 10:20:00,2018-04-03,10:20,hidden_bull,long,-106.02,155.36,154.5,0.87,2477,157.1,157.1,target,1.74,2.0
IWM,2018-04-11 10:00:00,2018-04-11,10:00,hidden_bear,short,102.18,153.3,153.63,0.33,2709,152.64,153.63,stop,-0.33,-1.0
IWM,2018-05-04 13:10:00,2018-05-04,13:10,bear,short,100.41,155.91,156.04,0.13,3408,155.65,156.04,stop,-0.13,-1.0
IWM,2018-05-16 12:40:00,2018-05-16,12:40,bear,short,119.71,160.88,161.04,0.16,3725,160.56,161.04,stop,-0.16,-1.0
SPY,2018-06-25 11:40:00,2018-06-25,11:40,bull,long,-118.52,270.93,270.2,0.73,4806,272.39,270.2,stop,-0.73,-1.0
IWM,2018-06-25 11:40:00,2018-06-25,11:40,bull,long,-124.78,164.93,164.44,0.5,4799,165.93,164.44,stop,-0.49,-0.98
IWM,2018-07-27 13:00:00,2018-07-27,13:00,bull,long,-126.27,165.34,164.95,0.39,5710,166.12,164.95,stop,-0.39,-1.0
IWM,2018-08-21 11:50:00,2018-08-21,11:50,bear,short,122.54,170.87,170.88,0.01,6383,170.85,170.88,stop,-0.01,-1.0
SPY,2018-09-27 10:50:00,2018-09-27,10:50,hidden_bear,short,111.74,291.41,291.51,0.1,7424,291.21,291.51,stop,-0.1,-1.0
SPY,2018-10-10 11:20:00,2018-10-10,11:20,bull,long,-127.27,283.51,283.12,0.39,7787,284.29,283.12,stop,-0.39,-1.0
IWM,2018-11-12 11:00:00,2018-11-12,11:00,bull,long,-112.86,151.96,151.91,0.05,8698,152.06,151.91,stop,-0.05,-1.0
SPY,2018-11-28 13:50:00,2018-11-28,13:50,bear,short,106.68,273.3,273.49,0.19,9145,272.92,273.49,stop,-0.19,-1.0
IWM,2018-12-04 13:40:00,2018-12-04,13:40,bull,long,-142.19,148.66,148.01,0.65,9297,149.96,148.01,stop,-0.65,-1.0
IWM,2018-12-14 10:20:00,2018-12-14,10:20,hidden_bear,short,109.07,142.55,143.23,0.68,9557,141.19,141.19,target,1.36,2.0
QQQ,2019-02-05 10:50:00,2019-02-05,10:50,bear,short,117.87,171.0,171.09,0.09,3699,170.82,171.09,stop,-0.09,-1.0
IWM,2019-03-06 12:00:00,2019-03-06,12:00,bull,long,-106.67,154.71,154.21,0.5,11709,155.71,154.21,stop,-0.5,-1.0
IWM,2019-03-13 11:30:00,2019-03-13,11:30,bear,short,100.88,155.62,155.73,0.11,11906,155.4,155.4,target,0.22,2.0
SPY,2019-03-21 10:10:00,2019-03-21,10:10,hidden_bear,short,111.57,282.23,282.61,0.38,12146,281.47,282.61,stop,-0.38,-1.0
IWM,2019-03-21 10:10:00,2019-03-21,10:10,hidden_bear,short,147.53,154.29,154.62,0.33,12138,153.63,154.62,stop,-0.33,-1.0
QQQ,2019-03-21 12:00:00,2019-03-21,12:00,bear,short,106.67,181.51,181.67,0.16,4946,181.19,181.19,target,0.32,2.0
QQQ,2019-04-23 12:10:00,2019-04-23,12:10,bear,short,140.41,190.14,190.29,0.15,5827,189.84,190.29,stop,-0.15,-1.0
IWM,2019-05-02 10:20:00,2019-05-02,10:20,hidden_bear,short,121.18,157.72,158.15,0.43,13299,156.86,156.86,target,0.86,2.0
QQQ,2019-06-10 11:50:00,2019-06-10,11:50,bear,short,125.53,184.7,184.76,0.06,7145,184.58,184.58,target,0.12,2.0
SPY,2019-06-18 11:00:00,2019-06-18,11:00,bear,short,100.29,293.35,293.49,0.14,14591,293.07,293.07,target,0.28,2.0
IWM,2019-07-15 11:40:00,2019-07-15,11:40,bull,long,-100.21,155.04,154.85,0.19,15289,155.42,155.31,eod,0.27,1.421
IWM,2019-07-17 10:50:00,2019-07-17,10:50,bull,long,-121.28,154.04,153.86,0.17,15364,154.38,154.38,target,0.34,2.0
QQQ,2019-07-23 10:20:00,2019-07-23,10:20,hidden_bull,long,-105.06,192.66,192.45,0.21,8319,193.08,193.08,target,0.42,2.0
IWM,2019-07-24 14:30:00,2019-07-24,14:30,bear,short,103.08,156.54,156.61,0.07,15586,156.4,156.61,stop,-0.07,-1.0
IWM,2019-07-30 12:40:00,2019-07-30,12:40,bear,short,108.17,156.88,156.99,0.11,15735,156.66,156.99,stop,-0.11,-1.0
IWM,2019-08-02 11:00:00,2019-08-02,11:00,bull,long,-101.98,151.91,151.28,0.63,15845,153.17,152.77,eod,0.86,1.365
IWM,2019-08-27 12:20:00,2019-08-27,12:20,bull,long,-128.42,145.25,145.14,0.12,16533,145.49,145.14,stop,-0.11,-0.917
QQQ,2019-09-18 14:40:00,2019-09-18,14:40,bull,long,-101.37,190.35,190.29,0.06,9945,190.47,190.29,stop,-0.06,-1.0
IWM,2019-09-24 12:40:00,2019-09-24,12:40,bull,long,-124.15,152.74,152.33,0.41,17295,153.56,152.33,stop,-0.41,-1.0
QQQ,2019-09-26 10:00:00,2019-09-26,10:00,hidden_bull,long,-110.99,188.91,188.75,0.16,10157,189.23,188.75,stop,-0.16,-1.0
SPY,2019-10-01 13:40:00,2019-10-01,13:40,bull,long,-107.81,293.48,293.06,0.42,17510,294.32,294.32,target,0.84,2.0
IWM,2019-10-28 10:30:00,2019-10-28,10:30,bear,short,157.19,156.65,156.75,0.1,18242,156.45,156.75,stop,-0.1,-1.0
IWM,2019-10-30 11:50:00,2019-10-30,11:50,bull,long,-105.19,155.46,155.35,0.11,18330,155.68,155.68,target,0.22,2.0
IWM,2019-11-01 10:50:00,2019-11-01,10:50,bear,short,154.67,157.66,157.76,0.09,18404,157.48,157.76,stop,-0.1,-1.111
SPY,2019-11-19 10:10:00,2019-11-19,10:10,hidden_bull,long,-111.72,312.0,311.76,0.24,18889,312.48,311.76,stop,-0.24,-1.0
IWM,2019-11-21 10:30:00,2019-11-21,10:30,bull,long,-118.13,157.5,157.23,0.27,18962,158.04,157.68,eod,0.18,0.667
IWM,2019-11-25 13:00:00,2019-11-25,13:00,bear,short,121.39,161.51,161.58,0.07,19057,161.37,161.58,stop,-0.07,-1.0
SPY,2019-12-06 11:40:00,2019-12-06,11:40,bear,short,118.87,315.15,315.28,0.12,19361,314.91,315.28,stop,-0.13,-1.083
SPY,2019-12-20 09:40:00,2019-12-20,09:40,hidden_bear,short,110.08,320.65,320.9,0.25,19749,320.15,320.9,stop,-0.25,-1.0
QQQ,2019-12-26 13:40:00,2019-12-26,13:40,bear,short,109.51,213.38,213.45,0.07,12664,213.24,213.45,stop,-0.07,-1.0
QQQ,2019-12-27 10:00:00,2019-12-27,10:00,hidden_bull,long,-128.81,213.61,213.3,0.32,12682,214.25,214.25,target,0.64,2.0
IWM,2020-01-02 11:50:00,2020-01-02,11:50,bull,long,-108.77,164.64,164.42,0.22,20014,165.08,164.42,stop,-0.22,-1.0
QQQ,2020-01-06 10:30:00,2020-01-06,10:30,hidden_bear,short,106.03,214.14,214.41,0.27,12885,213.6,214.41,stop,-0.27,-1.0
IWM,2020-01-24 09:50:00,2020-01-24,09:50,hidden_bull,long,-108.77,167.4,166.97,0.43,20602,168.26,166.97,stop,-0.43,-1.0
IWM,2020-01-24 12:20:00,2020-01-24,12:20,bull,long,-118.12,165.39,165.11,0.28,20617,165.95,165.11,stop,-0.28,-1.0
QQQ,2020-01-31 10:30:00,2020-01-31,10:30,hidden_bull,long,-112.24,220.93,220.79,0.14,13605,221.21,220.79,stop,-0.14,-1.0
IWM,2020-02-20 10:20:00,2020-02-20,10:20,hidden_bear,short,107.84,168.98,169.06,0.09,21325,168.8,169.06,stop,-0.08,-0.889
SPY,2020-05-13 12:20:00,2020-05-13,12:20,bull,long,-112.53,281.14,279.61,1.53,23666,284.2,279.61,stop,-1.53,-1.0
QQQ,2020-05-13 12:20:00,2020-05-13,12:20,bull,long,-120.61,218.56,216.89,1.67,16454,221.9,216.89,stop,-1.67,-1.0
IWM,2020-05-13 12:20:00,2020-05-13,12:20,bull,long,-118.7,121.61,120.41,1.2,23655,124.01,122.54,eod,0.93,0.775
SPY,2020-07-08 10:00:00,2020-07-08,10:00,hidden_bear,short,100.65,315.91,316.19,0.28,25172,315.35,316.19,stop,-0.28,-1.0
QQQ,2020-07-21 09:50:00,2020-07-21,09:50,hidden_bull,long,-108.63,267.0,266.05,0.95,18319,268.9,266.05,stop,-0.95,-1.0
QQQ,2020-08-12 11:20:00,2020-08-12,11:20,bear,short,111.53,271.19,271.29,0.1,18968,270.99,271.29,stop,-0.1,-1.0
QQQ,2020-08-12 12:10:00,2020-08-12,12:10,bear,short,106.04,271.93,272.08,0.15,18973,271.63,272.08,stop,-0.15,-1.0
SPY,2020-08-26 14:30:00,2020-08-26,14:30,bear,short,113.71,347.1,347.86,0.76,26599,345.58,347.86,stop,-0.76,-1.0
SPY,2020-09-30 11:30:00,2020-09-30,11:30,bear,short,105.75,336.51,337.12,0.61,27541,335.29,337.12,stop,-0.61,-1.0
QQQ,2020-10-12 13:40:00,2020-10-12,13:40,bear,short,105.26,295.82,296.24,0.42,20662,294.98,296.24,stop,-0.42,-1.0
QQQ,2020-12-24 09:50:00,2020-12-24,09:50,hidden_bear,short,118.23,309.52,309.86,0.34,22702,308.84,309.86,stop,-0.34,-1.0
SPY,2021-01-04 12:10:00,2021-01-04,12:10,bull,long,-161.77,366.0,365.99,0.01,30111,366.02,365.99,stop,-0.01,-1.0
IWM,2021-01-06 13:50:00,2021-01-06,13:50,bear,short,100.58,206.18,206.72,0.53,26311,205.12,206.72,stop,-0.54,-1.019
SPY,2021-01-20 13:20:00,2021-01-20,13:20,bear,short,106.95,383.99,384.08,0.09,30558,383.81,384.08,stop,-0.09,-1.0
SPY,2021-02-02 11:20:00,2021-02-02,11:20,bear,short,101.28,382.57,382.89,0.32,30906,381.93,382.89,stop,-0.32,-1.0
IWM,2021-04-05 10:10:00,2021-04-05,10:10,hidden_bull,long,-135.54,224.8,223.88,0.92,28689,226.64,223.88,stop,-0.92,-1.0
QQQ,2021-04-05 11:40:00,2021-04-05,11:40,bear,short,115.86,330.12,330.48,0.36,25376,329.4,330.48,stop,-0.36,-1.0
SPY,2021-04-05 12:40:00,2021-04-05,12:40,bear,short,130.14,406.65,406.94,0.29,32594,406.07,406.07,target,0.58,2.0
QQQ,2021-04-05 12:50:00,2021-04-05,12:50,bear,short,109.46,330.76,330.95,0.19,25383,330.38,330.95,stop,-0.19,-1.0
QQQ,2021-04-05 14:10:00,2021-04-05,14:10,bear,short,101.07,331.46,331.68,0.22,25391,331.02,331.68,stop,-0.22,-1.0
SPY,2021-04-23 13:00:00,2021-04-23,13:00,bear,short,129.9,417.1,417.28,0.18,33156,416.74,417.28,stop,-0.18,-1.0
QQQ,2021-04-23 13:00:00,2021-04-23,13:00,bear,short,112.37,340.07,340.18,0.11,25944,339.85,340.18,stop,-0.11,-1.0
SPY,2021-04-26 09:50:00,2021-04-26,09:50,hidden_bear,short,114.39,417.69,417.98,0.29,33177,417.11,417.98,stop,-0.29,-1.0
QQQ,2021-04-29 10:20:00,2021-04-29,10:20,hidden_bull,long,-106.24,339.95,339.42,0.53,26088,341.01,339.42,stop,-0.53,-1.0
SPY,2021-04-29 10:50:00,2021-04-29,10:50,hidden_bull,long,-106.95,418.27,417.54,0.73,33303,419.73,417.54,stop,-0.73,-1.0
QQQ,2021-05-04 11:00:00,2021-05-04,11:00,bull,long,-123.98,328.74,328.41,0.33,26212,329.4,328.41,stop,-0.33,-1.0
IWM,2021-05-10 16:00:00,2021-05-10,16:00,bull,long,-100.7,219.72,219.59,0.13,29724,219.98,219.72,eod,0.0,0.0
QQQ,2021-05-20 11:50:00,2021-05-20,11:50,bear,short,148.52,328.88,329.13,0.25,26697,328.38,328.38,target,0.5,2.0
QQQ,2021-06-04 11:30:00,2021-06-04,11:30,bear,short,130.57,335.4,335.72,0.32,27095,334.76,335.72,stop,-0.32,-1.0
IWM,2021-06-07 11:20:00,2021-06-07,11:20,bear,short,101.11,229.47,229.84,0.37,30456,228.73,229.84,stop,-0.37,-1.0
IWM,2021-06-15 11:50:00,2021-06-15,11:50,bull,long,-102.6,228.8,228.68,0.12,30699,229.04,229.04,target,0.24,2.0
QQQ,2021-06-17 11:50:00,2021-06-17,11:50,bear,short,147.75,344.99,346.2,1.21,27457,342.57,346.2,stop,-1.21,-1.0
IWM,2021-07-02 11:00:00,2021-07-02,11:00,bull,long,-109.01,229.42,228.83,0.59,31214,230.6,228.83,stop,-0.59,-1.0
SPY,2021-07-06 12:20:00,2021-07-06,12:20,bull,long,-105.7,430.53,430.1,0.43,35152,431.39,430.1,stop,-0.43,-1.0
SPY,2021-07-16 10:30:00,2021-07-16,10:30,hidden_bull,long,-109.05,433.7,433.14,0.56,35461,434.82,433.14,stop,-0.56,-1.0
SPY,2021-08-23 11:10:00,2021-08-23,11:10,bear,short,134.97,447.52,447.55,0.03,36505,447.46,447.55,stop,-0.03,-1.0
QQQ,2021-08-23 12:00:00,2021-08-23,12:00,bear,short,157.79,373.26,373.35,0.09,29298,373.08,373.08,target,0.18,2.0
IWM,2021-08-27 13:50:00,2021-08-27,13:50,bear,short,114.76,226.6,226.7,0.1,32791,226.4,226.4,target,0.2,2.0
IWM,2021-09-13 10:10:00,2021-09-13,10:10,bull,long,-118.37,221.61,220.48,1.13,33169,223.87,223.13,eod,1.52,1.345
