ticker,timestamp,date,time,div_type,direction,osc_value,entry,stop,risk,conf_bar,target,exit,exit_reason,pnl_pts,pnl_r
SPY,2021-01-20 13:20:00,2021-01-20,13:20,bear,short,106.95,383.99,384.08,0.09,456,383.86,384.08,stop,-0.09,-1.0
SPY,2021-02-02 11:20:00,2021-02-02,11:20,bear,short,101.28,382.57,382.89,0.32,804,382.09,382.89,stop,-0.32,-1.0
SPY,2021-04-05 12:40:00,2021-04-05,12:40,bear,short,130.14,406.65,406.94,0.29,2492,406.21,406.21,target,0.44,1.5
SPY,2021-04-23 13:00:00,2021-04-23,13:00,bear,short,129.9,417.1,417.28,0.18,3054,416.83,417.28,stop,-0.18,-1.0
SPY,2021-04-26 09:50:00,2021-04-26,09:50,hidden_bear,short,114.39,417.69,417.98,0.29,3075,417.25,417.98,stop,-0.29,-1.0
SPY,2021-04-29 10:50:00,2021-04-29,10:50,hidden_bull,long,-106.95,418.27,417.54,0.73,3201,419.37,417.54,stop,-0.73,-1.0
SPY,2021-07-06 12:20:00,2021-07-06,12:20,bull,long,-105.7,430.53,430.1,0.43,5050,431.17,430.1,stop,-0.43,-1.0
SPY,2021-07-16 10:30:00,2021-07-16,10:30,hidden_bull,long,-109.05,433.7,433.14,0.56,5359,434.54,433.14,stop,-0.56,-1.0
SPY,2021-08-23 11:10:00,2021-08-23,11:10,bear,short,134.97,447.52,447.55,0.03,6403,447.47,447.55,stop,-0.03,-1.0
SPY,2021-12-27 12:30:00,2021-12-27,12:30,bear,short,108.56,475.64,475.69,0.05,9874,475.56,475.69,stop,-0.05,-1.0
SPY,2021-12-27 14:00:00,2021-12-27,14:00,bear,short,101.48,476.26,476.31,0.05,9883,476.19,476.31,stop,-0.05,-1.0
SPY,2022-01-05 16:00:00,2022-01-05,16:00,bull,long,-133.36,468.78,468.28,0.5,10175,469.53,468.78,eod,0.0,0.0
SPY,2022-01-11 09:50:00,2022-01-11,09:50,hidden_bull,long,-120.46,462.86,462.23,0.63,10298,463.81,463.81,target,0.94,1.5
SPY,2022-05-05 10:10:00,2022-05-05,10:10,hidden_bull,long,-135.83,419.63,418.97,0.66,13460,420.62,418.97,stop,-0.66,-1.0
SPY,2022-05-20 12:20:00,2022-05-20,12:20,bull,long,-101.51,384.44,383.57,0.87,13913,385.75,383.57,stop,-0.87,-1.0
SPY,2022-06-10 10:30:00,2022-06-10,10:30,bull,long,-136.35,391.79,390.18,1.61,14462,394.21,390.18,stop,-1.61,-1.0
SPY,2022-07-18 15:00:00,2022-07-18,15:00,bull,long,-106.1,383.69,382.97,0.72,15449,384.77,382.97,stop,-0.72,-1.0
SPY,2022-09-13 10:50:00,2022-09-13,10:50,bull,long,-144.58,398.41,398.26,0.15,17024,398.64,398.26,stop,-0.15,-1.0
SPY,2022-11-10 11:40:00,2022-11-10,11:40,bear,short,105.43,391.39,391.73,0.34,18709,390.88,391.73,stop,-0.34,-1.0
SPY,2022-12-22 12:40:00,2022-12-22,12:40,bull,long,-105.86,376.61,376.31,0.3,19858,377.06,376.31,stop,-0.3,-1.0
SPY,2022-12-29 12:00:00,2022-12-29,12:00,bear,short,100.59,383.94,384.24,0.3,20014,383.49,383.49,target,0.45,1.5
SPY,2023-01-18 12:30:00,2023-01-18,12:30,bull,long,-104.71,393.82,393.51,0.31,20497,394.28,393.51,stop,-0.31,-1.0
SPY,2023-01-23 10:50:00,2023-01-23,10:50,bear,short,102.36,399.88,399.96,0.08,20607,399.76,399.96,stop,-0.08,-1.0
SPY,2023-04-28 10:30:00,2023-04-28,10:30,bear,short,119.19,413.89,414.81,0.92,23285,412.51,412.51,target,1.38,1.5
SPY,2023-05-15 10:10:00,2023-05-15,10:10,hidden_bull,long,-103.64,410.55,410.32,0.23,23723,410.9,410.9,target,0.35,1.5
SPY,2023-06-15 11:40:00,2023-06-15,11:40,bear,short,102.32,440.25,441.05,0.8,24612,439.05,439.05,target,1.2,1.5
SPY,2023-07-18 14:30:00,2023-07-18,14:30,bear,short,105.31,453.94,454.32,0.38,25452,453.37,454.32,stop,-0.38,-1.0
SPY,2023-07-27 15:50:00,2023-07-27,15:50,bull,long,-113.24,452.48,451.55,0.93,25740,453.88,453.88,target,1.39,1.5
SPY,2023-08-29 12:30:00,2023-08-29,12:30,bear,short,124.36,448.01,448.44,0.44,26640,447.35,448.44,stop,-0.43,-0.977
SPY,2023-09-15 11:00:00,2023-09-15,11:00,bull,long,-128.32,444.72,444.53,0.19,27111,445.01,444.53,stop,-0.19,-1.0
SPY,2023-10-10 10:40:00,2023-10-10,10:40,bear,short,114.99,435.09,435.7,0.61,27789,434.17,435.7,stop,-0.61,-1.0
SPY,2023-10-12 10:00:00,2023-10-12,10:00,hidden_bull,long,-100.33,435.66,435.07,0.59,27865,436.55,436.55,target,0.88,1.5
SPY,2023-12-07 10:40:00,2023-12-07,10:40,bear,short,114.26,457.77,458.14,0.38,29412,457.2,457.2,target,0.57,1.5
SPY,2024-04-23 10:40:00,2024-04-23,10:40,bear,short,111.68,504.53,505.13,0.6,33132,503.63,505.13,stop,-0.6,-1.0
SPY,2024-05-23 11:00:00,2024-05-23,11:00,bull,long,-100.87,530.53,529.01,1.52,34014,532.81,529.01,stop,-1.52,-1.0
SPY,2024-07-10 14:00:00,2024-07-10,14:00,bear,short,103.91,559.61,559.85,0.24,35255,559.25,559.85,stop,-0.24,-1.0
SPY,2024-07-12 13:50:00,2024-07-12,13:50,bear,short,121.46,563.05,563.65,0.6,35334,562.15,562.15,target,0.9,1.5
SPY,2024-07-24 12:10:00,2024-07-24,12:10,bull,long,-108.4,544.66,543.89,0.77,35644,545.81,543.89,stop,-0.77,-1.0
SPY,2024-07-30 13:00:00,2024-07-30,13:00,bull,long,-106.22,539.8,538.79,1.01,35809,541.31,541.31,target,1.51,1.5
SPY,2024-08-01 13:20:00,2024-08-01,13:20,bull,long,-106.07,542.3,542.23,0.07,35891,542.4,542.23,stop,-0.07,-1.0
SPY,2024-12-11 11:40:00,2024-12-11,11:40,bear,short,116.53,607.75,607.79,0.04,39544,607.69,607.79,stop,-0.04,-1.0
SPY,2024-12-18 09:40:00,2024-12-18,09:40,hidden_bull,long,-115.35,604.08,603.47,0.61,39732,605.0,605.0,target,0.91,1.5
SPY,2025-02-21 13:10:00,2025-02-21,13:10,bull,long,-129.86,602.85,602.72,0.13,41416,603.05,602.72,stop,-0.13,-1.0
SPY,2025-02-21 14:40:00,2025-02-21,14:40,bull,long,-126.0,599.94,599.62,0.32,41425,600.42,600.42,target,0.48,1.5
SPY,2025-03-04 10:20:00,2025-03-04,10:20,bull,long,-115.72,574.51,572.39,2.12,41679,577.69,572.39,stop,-2.12,-1.0
SPY,2025-05-19 10:20:00,2025-05-19,10:20,hidden_bear,short,123.34,592.25,593.3,1.05,43799,590.67,593.3,stop,-1.05,-1.0
SPY,2025-07-31 14:20:00,2025-07-31,14:20,bull,long,-108.11,634.21,631.43,2.78,45806,638.38,631.43,stop,-2.78,-1.0
SPY,2025-09-22 13:00:00,2025-09-22,13:00,bear,short,122.04,666.34,666.5,0.15,47238,666.12,666.12,target,0.23,1.5
SPY,2025-10-10 13:10:00,2025-10-10,13:10,bull,long,-102.78,658.66,657.84,0.82,47799,659.89,659.89,target,1.23,1.5
SPY,2025-11-06 12:00:00,2025-11-06,12:00,bull,long,-108.98,670.46,669.01,1.45,48552,672.63,669.01,stop,-1.45,-1.0
SPY,2026-01-12 10:00:00,2026-01-12,10:00,hidden_bear,short,115.43,693.22,693.9,0.68,50266,692.2,693.9,stop,-0.68,-1.0
SPY,2026-01-12 11:20:00,2026-01-12,11:20,bear,short,101.61,694.23,694.68,0.45,50274,693.56,694.68,stop,-0.45,-1.0
SPY,2026-04-14 10:30:00,2026-04-14,10:30,bear,short,110.99,690.82,691.03,0.21,52789,690.5,691.03,stop,-0.21,-1.0
