ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
AAPL,2018-03-26,short,5,44.78,42.15,2.63,42.0175,44.78,36.4925,41.03,2018-04-26,2.7625,0.9875,0.3575,WIN,maxhold
AAPL,2018-07-13,long,1,47.67,47.325,0.345,47.77,47.325,48.66,47.325,2018-07-17,0.445,-0.445,-1.0,LOSS,stop
AAPL,2018-08-03,long,1,48.035,47.335,0.7,51.7575,47.335,60.6025,57.1025,2018-09-04,4.4225,5.345,1.2086,WIN,maxhold
AAPL,2018-10-30,short,5,56.0575,53.635,2.4225,52.7875,56.0575,46.2475,46.2475,2018-11-19,3.27,6.54,2.0,WIN,target
AAPL,2019-03-15,long,1,45.6675,44.8425,0.825,46.2125,44.8425,48.9525,48.9525,2019-03-21,1.37,2.74,2.0,WIN,target
AAPL,2019-05-15,short,4,51.8544,48.1925,3.6619,46.5675,51.8544,35.9937,48.225,2019-06-17,5.2869,-1.6575,-0.3135,LOSS,maxhold
AAPL,2019-09-12,long,5,54.195,51.83,2.365,56.2,51.83,64.94,58.725,2019-10-14,4.37,2.525,0.5778,WIN,maxhold
AAPL,2019-12-17,long,2,68.825,66.8303,1.9947,69.8925,66.8303,76.0169,76.0169,2020-01-08,3.0622,6.1244,2.0,WIN,target
AAPL,2020-02-26,short,5,81.495,77.625,3.87,71.6325,81.495,51.9075,62.685,2020-03-30,9.8625,8.9475,0.9072,WIN,maxhold
AAPL,2020-06-10,long,3,83.4,80.195,3.205,86.975,80.195,100.535,97.265,2020-07-13,6.78,10.29,1.5177,WIN,maxhold
AAPL,2020-08-03,long,2,96.2975,93.7125,2.585,108.2,93.7125,137.175,137.175,2020-09-02,14.4875,28.975,2.0,WIN,target
AAPL,2020-10-12,long,5,116.65,112.22,4.43,120.06,112.22,135.74,112.22,2020-10-28,7.84,-7.84,-1.0,LOSS,stop
AAPL,2021-01-22,long,5,132.49,126.938,5.552,136.28,126.938,154.964,128.01,2021-02-22,9.342,-8.27,-0.8852,LOSS,maxhold
