ticker,timeframe_min,date,time,div_type,expected_dir,spo_value,entry_price,price_level,move_5b,move_5b_pct,mfe_5b,mae_5b,n_bars_5b,move_15b,move_15b_pct,mfe_15b,mae_15b,n_bars_15b,move_30b,move_30b_pct,mfe_30b,mae_30b,n_bars_30b,move_eod,move_eod_pct,mfe_eod,mae_eod,n_bars_eod
SPY,3,2018-01-03,10:33,bear,down,107.73,269.94,269.9899,0.02,0.0074,0.07,0.13,5,0.01,0.0037,0.21,0.13,15,0.02,0.0074,0.21,0.13,30,-0.54,-0.2,0.21,0.7,109
SPY,5,2018-01-03,10:35,bear,down,128.5,269.9801,269.99,0.1502,0.0556,0.2501,0.0899,5,0.0901,0.0334,0.2501,0.0899,15,-0.3399,-0.1259,0.2501,0.4799,30,-0.4699,-0.174,0.2501,0.6599,65
SPY,10,2018-01-03,13:00,bear,down,105.61,270.32,270.46,0.28,0.1036,0.35,0.04,5,-0.195,-0.0721,0.35,0.22,15,-0.15,-0.0555,0.35,0.32,18,-0.15,-0.0555,0.35,0.32,18
SPY,5,2018-01-04,10:40,bear,down,108.49,271.96,272.1,0.15,0.0552,0.19,0.05,5,0.33,0.1213,0.53,0.05,15,0.17,0.0625,1.4153,0.05,30,0.41,0.1508,1.4153,0.1,64
SPY,3,2018-01-16,14:45,bull,up,-106.63,276.525,276.42,0.57,0.2061,0.615,0.015,5,0.805,0.2911,1.025,0.015,15,0.865,0.3128,1.065,0.015,25,0.865,0.3128,1.065,0.015,25
SPY,3,2018-01-17,09:45,bear,down,-107.25,277.43,277.685,-0.18,-0.0649,0.24,0.28,5,-0.39,-0.1406,0.24,0.57,15,-1.03,-0.3713,0.46,1.05,30,-2.06,-0.7425,0.46,2.62,125
SPY,5,2018-01-17,09:50,hidden_bull,up,-121.92,277.56,277.19,0.29,0.1045,0.44,0.36,5,0.65,0.2342,0.65,0.59,15,1.05,0.3783,1.14,0.59,30,1.91,0.6881,2.49,0.59,74
SPY,5,2018-01-17,09:55,bear,down,-103.78,277.28,277.71,-0.46,-0.1659,0.0075,0.72,5,-1.05,-0.3787,0.31,1.08,15,-1.36,-0.4905,0.31,1.43,30,-2.19,-0.7898,0.31,2.77,73
SPY,3,2018-01-23,09:51,bear,down,115.96,282.98,283.31,0.46,0.1626,0.61,0.02,5,-0.06,-0.0212,0.61,0.2,15,-0.43,-0.152,0.61,0.64,30,-0.12,-0.0424,0.61,0.64,123
SPY,10,2018-02-06,09:30,bull,up,-114.67,263.88,260.24,-0.58,-0.2198,3.95,1.32,5,0.35,0.1326,3.95,2.5,15,-0.36,-0.1364,3.95,2.5,30,4.93,1.8683,5.82,2.5,39
SPY,5,2018-02-06,09:55,hidden_bear,down,103.88,265.79,267.67,2.45,0.9218,3.23,2.04,5,3.1101,1.1701,4.41,2.04,15,0.45,0.1693,4.41,2.04,30,-2.9,-1.0911,4.41,3.91,73
SPY,3,2018-02-06,09:57,hidden_bear,down,111.42,265.79,267.78,0.7,0.2634,0.7299,2.04,5,2.7,1.0158,4.41,2.04,15,3.03,1.14,4.41,2.04,30,-3.39,-1.2754,4.41,3.91,121
SPY,10,2018-02-21,09:50,hidden_bear,down,109.69,272.68,273.06,-0.46,-0.1687,0.33,0.7,5,-0.11,-0.0403,0.33,0.96,15,-0.55,-0.2017,0.33,2.04,30,3.28,1.2029,3.37,2.04,37
SPY,5,2018-02-22,09:40,hidden_bear,down,100.17,271.73,272.11,0.07,0.0258,0.97,0.04,5,-0.01,-0.0037,0.97,0.6085,15,-0.92,-0.3386,0.97,1.32,30,0.9,0.3312,2.09,1.32,76
SPY,3,2018-02-22,09:42,hidden_bear,down,111.93,271.73,272.27,0.5,0.184,0.97,0.04,5,0.06,0.0221,0.97,0.2,15,-0.725,-0.2668,0.97,0.82,30,1.02,0.3754,2.09,1.32,126
SPY,3,2018-03-05,11:48,bear,down,104.22,271.36,271.54,-0.249,-0.0918,0.34,0.34,5,0.18,0.0663,0.5,0.39,15,-0.51,-0.1879,0.5,0.87,30,-0.71,-0.2616,0.6979,1.53,84
SPY,5,2018-03-27,09:50,hidden_bull,up,-110.35,265.07,264.79,-0.16,-0.0604,0.95,0.51,5,0.08,0.0302,0.95,0.6,15,1.24,0.4678,1.7,0.6,30,-4.08,-1.5392,1.7,6.23,74
SPY,3,2018-03-27,15:33,bull,up,-116.99,260.32,259.79,-0.67,-0.2574,0.48,1.48,5,0.64,0.2459,0.81,1.48,9,0.64,0.2459,0.81,1.48,9,0.64,0.2459,0.81,1.48,9
SPY,3,2018-03-27,15:48,bull,up,-110.01,259.65,258.88,1.31,0.5045,1.48,0.03,4,1.31,0.5045,1.48,0.03,4,1.31,0.5045,1.48,0.03,4,1.31,0.5045,1.48,0.03,4
SPY,3,2018-04-02,11:42,bull,up,-113.81,257.18,256.63,0.19,0.0739,0.8289,0.28,5,0.12,0.0467,0.8289,0.86,15,-0.25,-0.0972,1.09,0.86,30,0.26,0.1011,1.09,2.51,86
SPY,5,2018-04-02,11:45,bull,up,-124.53,257.68,256.63,-0.84,-0.326,0.3289,1.36,5,-0.52,-0.2018,0.59,1.36,15,-1.96,-0.7606,0.59,3.01,30,-0.39,-0.1514,0.59,3.01,51
SPY,3,2018-04-16,09:42,hidden_bull,up,-111.65,266.4682,266.11,-0.0282,-0.0106,0.2818,0.3082,5,0.6218,0.2333,0.6818,0.3082,15,0.1018,0.0382,0.7318,0.3082,30,1.0118,0.3797,1.7318,0.3082,126
SPY,3,2018-04-24,09:36,hidden_bull,up,-101.16,267.63,267.35,-0.33,-0.1233,0.3462,0.4108,5,-1.14,-0.426,0.3462,1.175,15,-1.59,-0.5941,0.3462,1.798,30,-4.42,-1.6515,0.3462,6.35,128
SPY,5,2018-05-03,10:40,bull,up,-105.12,259.705,259.34,0.1949,0.075,0.335,0.655,5,0.8098,0.3118,1.005,0.655,15,2.215,0.8529,2.995,0.655,30,3.165,1.2187,3.655,0.655,64
SPY,5,2018-05-04,11:35,bear,down,109.49,265.1274,265.27,-0.1876,-0.0708,0.3374,0.2226,5,-0.3326,-0.1254,0.3374,0.4926,15,-1.0681,-0.4029,0.3374,1.1326,30,-0.8626,-0.3254,0.3374,1.6618,53
